Name,Label,Natri (mg),Kali (mg),Clorid (mg),Calci (mg),Phospho (mg),Magnesi (mg),Mangan (μg),Sắt (mg),I-ốt (μg),Kẽm (mg),Đồng (mg),Selen (μg),Vitamin A (IU),Vitamin D3 (IU),Vitamin E (mg α-TE),Vitamin K1 (μg),Vitamin C (mg),Vitamin B1 (mg),Vitamin B2 (mg),Niacin (mg),Vitamin B6 (mg),Acid folic (μg),Acid pantothetic (mg),Vitamin B12 (μg),Biotin (μg),Cholin (mg),Vitamin K2 (μg),Acid linoleic (mg),Acid alpha-linolenic (mg),ARA (Arachidonic acid) (mg),DHA (Docosahexaenoic acid) (mg),Acid Oleic (mg),PUFA (g),MUFA (g),MCT (g),Năng lượng (kcal),Chất đạm (g),Tryptophan (mg),Chất béo (g),Hyđrat cacbon (g),Chất xơ hòa tan (g),GOS (g),2′-Fucosyllactose (2′-FL) (mg),Taurin (mg),Inositol (mg),L-Carnitin (mg),Nucleotid (mg),Lutein (μg),Độ ẩm (g),Bifidobacterium (cfu),Lactobacillus rhamnosus (cfu),Acid pantothenic (mg),Lysin (mg),Beta-caroten (μg),Collagen (g),Molybden (μg),Vitamin PP (mg),Crôm (μg),Phosphatidylserine (mg),Acid Folic (μg),Acid Pantothenic (μg),Niacin (μg),2'-Fucosyllactose (2'-FL) (mg),AA (mg),DHA (mg),Vitamin E (IU),CaHMB (g),YBG (mg),Vitamin B9 (mcg),Vitamin B5 (mg),Canxi (mg),Cholesterol (mg),Vitamin B3 (mg)
Vinamilk Optimum Gold Step 1,0-6 tháng,130,650,290,410.0,240,40.0,80.0,6.0,110.0,4.5,0.35,15.0,1600,344.0,11.5,45.0,80.0,0.7,1.1,5.0,0.4,105.0,4.0,2.0,18.0,126.0,0.0,4200.0,400.0,140.0,70.0,0.0,0.0,0.0,0.0,514,10.9,180.0,28.0,53.7,1.8,1.62,286.0,36.0,36.0,12.0,24.0,95.0,3.0,1000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0.0
Vinamilk Optimum Gold Step 2,6-12 tháng,200,650,284,600.0,400,57.0,85.0,7.5,120.0,4.8,0.32,14.0,1630,344.0,11.0,48.0,83.0,0.7,1.2,5.5,0.6,115.0,4.5,2.2,25.0,135.0,0.0,3300.0,330.0,112.0,67.5,0.0,0.0,0.0,0.0,490,15.6,230.0,24.0,51.9,1.9,1.7,286.0,40.0,40.0,12.0,24.0,95.0,3.0,1000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0.0
Vinamilk Optimum Gold Step 3,1-2 tuổi,200,710,350,690.0,410,60.0,330.0,8.5,110.0,5.3,0.35,20.0,1750,412.0,8.0,46.0,90.0,0.7,1.2,7.0,0.75,170.0,3.7,2.3,22.0,143.0,9.0,3800.0,300.0,30.0,63.0,0.0,0.0,0.0,0.0,472,16.5,240.0,21.0,52.8,2.48,2.23,239.0,38.0,,,20.0,136.0,3.0,1000000000.0,1000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0.0
Vinamilk Optimum Gold Step 4,2-6 tuổi,245,810,420,810.0,550,60.0,350.0,8.5,110.0,5.4,0.35,21.0,1790,416.0,10.5,46.0,90.0,0.75,1.4,7.0,1.0,180.0,,2.9,22.0,156.0,9.0,3800.0,300.0,11.0,83.5,0.0,0.0,0.0,0.0,465,17.0,220.0,20.0,52.8,3.0,2.23,239.0,40.0,,,20.0,136.0,3.0,1000000000.0,1000000000.0,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0.0
Vinamilk Dielac Alpha Gold - STEP 1,0-6 tháng,150,550,280,410.0,270,35.0,61.0,6.0,105.0,4.6,0.35,14.5,1550,312.0,6.5,40.0,65.0,0.43,0.5,4.5,0.23,80.0,3.3,0.9,11.0,120.0,0.0,4500.0,460.0,58.0,58.0,0.0,0.0,0.0,0.0,515,11.2,150.0,28.0,54.1,1.2,0.0,0.0,34.0,24.0,12.0,0.0,90.0,3.0,100000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0.0
Vinamilk Dielac Alpha Gold - STEP 2,6-12 tháng,200,730,350,510.0,390,50.0,75.0,7.0,120.0,5.5,0.35,17.0,1650,336.0,7.0,42.0,70.0,0.55,0.8,5.2,0.3,90.0,4.0,1.3,14.0,165.0,,3600.0,400.0,58.0,58.0,0.0,0.0,0.0,0.0,496,16.0,150.0,25.0,51.0,2.0,0.0,0.0,39.0,25.0,12.0,0.0,90.0,3.0,100000000.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0.0
Vinamilk Dielac Alpha Gold - STEP 3,6-12 tháng,213,895,460,715.0,530,89.0,86.0,8.5,120.0,5.3,0.34,20.0,1600,412.0,7.3,21.0,55.0,0.6,0.8,7.5,0.73,110.0,3.0,1.6,14.0,220.0,9.1,3000.0,260.0,25.0,66.0,0.0,0.0,0.0,0.0,461,17.0,300.0,19.0,54.6,2.4,0.0,0.0,55.0,0.0,0.0,0.0,150.0,3.0,50000000.0,50000000.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0.0
Vinamilk Dielac Alpha Gold - STEP 4,2-6 tuổi,230,895,460,740.0,530,60.0,90.0,8.5,110.0,5.4,0.35,21.0,1600,412.0,8.0,21.0,56.0,0.36,0.8,7.5,0.75,115.0,3.4,1.5,15.0,220.0,9.1,2800.0,250.0,11.0,66.0,0.0,0.0,0.0,0.0,456,17.0,300.0,18.0,55.6,2.4,0.0,0.0,54.0,0.0,0.0,0.0,225.0,3.0,50000000.0,50000000.0,,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0.0
Vinamilk Dielac Grow Plus Sữa Non - STEP 1+,1-2 tuổi,230,895,460,740.0,530,60.0,90.0,8.5,110.0,5.4,0.35,21.0,1600,412.0,8.0,21.0,56.0,0.36,0.8,7.5,0.75,115.0,3.4,1.5,15.0,220.0,9.1,2800.0,250.0,11.0,66.0,0.0,0.0,0.0,0.0,456,17.0,300.0,18.0,55.6,2.4,0.0,0.0,54.0,0.0,0.0,0.0,225.0,3.0,50000000.0,50000000.0,,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0.0
Vinamilk Dielac Grow Plus Sữa Non - STEP 2+,2-10 tuổi,230,895,460,740.0,530,60.0,90.0,8.5,110.0,5.4,0.35,21.0,1600,412.0,8.0,21.0,56.0,0.36,0.8,7.5,0.75,115.0,3.4,1.5,15.0,220.0,9.1,2800.0,250.0,11.0,66.0,0.0,0.0,0.0,0.0,456,17.0,300.0,18.0,55.6,2.4,0.0,0.0,54.0,0.0,0.0,0.0,225.0,3.0,50000000.0,50000000.0,,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0.0
