Name,Label,Loại Men,Vị,Năng lượng (kcal),Hydrat carbon (g),Chất đạm (g),Chất béo (g),Tỉ lệ sữa tươi,Tỉ lệ nha đam,Tỉ lệ mứt trái cây,Collagen: (mg),Tỉ lệ mứt lựu,Tỉ lệ thạch dừa,Tỉ lệ nếp cẩm,Tỉ lệ trân châu đường đen,Tỉ lệ mứt dâu,Tỉ lệ mứt việt quất,Tỉ lệ mứt lá dứa,Tỉ lệ sữa bột tách béo,Tỉ lệ Sữa chua lên men tự nhiên,Calci (mg),Natri (mg),Lysin (mg),Kẽm (mg),Magie (mg),Axit Folic (µg),Vitamin D3 (IU),Vitamin A (IU),Vitamin B1 (µg),Vitamin B6 (µg),Vitamin B9 (µg),Vitamin B12 (µg),Vitamin B3 (µg),Vitamin B2 (µg),Tỉ lệ ngũ gốc cacao
Sữa chua ăn Green Farm Ít đường,Sữa chua ăn,Streptococcus thermophilus và Lactobacillus bulgaricus,Ít đường,83.2,10.5,3.1,3.2,0.925,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,0,0,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0,0.0
Sữa chua ăn Green Farm Có đường,Sữa chua ăn,Streptococcus thermophilus và Lactobacillus bulgaricus,Có đường,90.8,12.5,3.0,3.2,0.9,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,0,0,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0,0.0
Sữa chua ăn Vinamilk Có Đường,Sữa chua ăn,Streptococcus thermophilus và Lactobacillus bulgaricus,Có đường,100.0,14.8,3.5,3.2,0.875,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110,45,0,0.0,0,0,60,200,0.0,0,0.0,0.0,0,0,0.0
Sữa chua ăn Vinamilk Không Đường,Sữa chua ăn,Streptococcus thermophilus và Lactobacillus bulgaricus,Không đường,59.8,4.5,3.7,3.0,0.99,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110,49,0,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0,0.0
Sữa chua ăn Vinamilk Nha Đam có đường,Sữa chua ăn,Streptococcus thermophilus và Lactobacillus bulgaricus,Nha đam có đường,99.1,15.6,3.1,2.6,0.783,0.01,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,43,0,0.0,0,0,60,0,0.0,0,0.0,0.0,0,0,0.0
Sữa chua ăn Vinamilk Trái Cây,Sữa chua ăn,Streptococcus thermophilus và Lactobacillus bulgaricus,Trái cây,99.4,16.0,3.0,2.6,0.776,0.0,0.047,0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,36,0,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0,0.0
Sữa chua ăn Vinamilk Nha đam ít đường + collagen,Sữa chua ăn,Streptococcus thermophilus và Lactobacillus bulgaricus,Nha đam,97.3,12.5,3.5,3.7,0.78,0.12,0.0,330,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90,47,0,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0,0.0
Sữa chua ăn Vinamilk Lựu Đỏ ít đường + Collagen,Sữa chua ăn,Streptococcus thermophilus và Lactobacillus bulgaricus,Lựu đỏ,105.0,14.5,3.5,3.7,0.78,0.0,0.0,330,0.043,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90,48,0,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0,0.0
Sữa chua ăn Vinamilk Nếp Cẩm,Sữa chua ăn,Streptococcus thermophilus và Lactobacillus bulgaricus,Nếp ẩm,102.0,18.0,3.0,2.0,0.61,0.0,0.0,0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0,36,0,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0,0.0
Sữa chua ăn Vinamilk Trân Châu Đường Đen,Sữa chua ăn,Streptococcus thermophilus và Lactobacillus bulgaricus,Trân châu đường đen,95.2,15.4,3.0,0.0,0.72,0.0,0.0,0,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0,34,0,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0,0.0
