Name,Lable,Loại Men,Vị,Năng lượng (kcal),Hydrat carbon (g),Chất đạm (g),Chất béo (g),Tỉ lệ sữa tươi,Tỉ lệ nha đam,Tỉ lệ mứt trái cây,Collagen: (mg),Tỉ lệ mứt lựu,Tỉ lệ thạch dừa,Tỉ lệ nếp cẩm,Tỉ lệ trân châu đường đen,Tỉ lệ mứt dâu,Tỉ lệ mứt việt quất,Tỉ lệ mứt lá dứa,Tỉ lệ sữa bột tách béo,Tỉ lệ Sữa chua lên men tự nhiên,Calci (mg),Natri (mg),Lysin (mg),Kẽm (mg),Magie (mg),Axit Folic (µg),Vitamin D3 (IU),Vitamin A (IU),Vitamin B1 (µg),Vitamin B6 (µg),Vitamin B9 (µg),Vitamin B12 (µg),Vitamin B3 (µg),Vitamin B2 (µg),Tỉ lệ ngũ gốc cacao
Sữa chua uống men sống Probi Hương Cam,Sữa chua uống men sống,Lactobacillus paracasei,Cam,74.6,17.0,1.2,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033,0.0,0,25,160,1.1,0.0,0,75,0,170.0,0,0.0,0.23,0,140,0.0
Sữa chua uống men sống Probi Có Đường,Sữa chua uống men sống,Lactobacillus paracasei,Có đường,63.6,14.8,1.1,0.1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033,0.0,0,20,0,0.0,0.0,0,75,0,0.0,0,0.0,0.0,0,0,0.0
Sữa chua uống men sống Probi Ít Đường,Sữa chua uống men sống,Lactobacillus paracasei,Ít đường,39.6,8.8,1.1,0.1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033,0.0,0,20,0,0.0,0.0,0,75,0,0.0,0,0.0,0.0,0,0,0.0
Sữa chua uống men sống Probi Hương Dâu,Sữa chua uống men sống,Lactobacillus paracasei,Dâu,66.4,15.5,1.1,0.1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033,0.0,0,20,0,0.0,0.0,0,75,0,0.0,0,0.0,0.0,0,0,0.0
Sữa chua uống men sống Probi Hương Dứa,Sữa chua uống men sống,Lactobacillus paracasei,Dứa,66.4,15.5,1.1,0.1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033,0.0,0,20,0,0.0,0.0,0,75,0,0.0,0,0.0,0.0,0,0,0.0
Sữa chua uống men sống Probi Dưa Gang,Sữa chua uống men sống,Lactobacillus paracasei,Dưa Gang,66.4,15.5,1.1,0.1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033,0.0,0,20,0,0.0,0.0,0,75,0,0.0,0,0.0,0.0,0,0,0.0
Sữa chua uống men sống Probi Nghệ Mật Ong,Sữa chua uống men sống,Lactobacillus paracasei,Nghệ Mật Ong,60.8,14.1,1.1,0.1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033,0.0,0,20,0,0.0,0.0,0,75,0,0.0,0,0.0,0.0,0,0,0.0
Sữa chua uống men sống Probi Hương Việt Quất,Sữa chua uống men sống,Lactobacillus paracasei,Việt quất,66.4,15.5,1.1,0.1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033,0.0,0,20,0,0.0,0.0,0,75,0,0.0,0,0.0,0.0,0,0,0.0
Sữa chua uống men sống Probi Lựu Đỏ Ít Đường,Sữa chua uống men sống,Lactobacillus paracasei,Lựu Đỏ Ít Đường,40.4,9.0,1.1,0.1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033,0.0,0,30,0,0.0,0.0,0,75,0,0.0,100,23.1,0.14,0,0,0.0
Sữa chua uống tiệt trùng SuSu Hương Táo Nho,Sữa chua uống tiệt trùng,Streptococcus thermophilus và Lactobacillus bulgaricus,Táo nho,75.3,15.6,1.2,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44,40,0,0,0.0,0.0,0,150,150,0.0,140,0.0,0.22,0,0,0.0
Sữa chua uống tiệt trùng SuSu Hương Cam Có Thạch,Sữa chua uống tiệt trùng,Streptococcus thermophilus và Lactobacillus bulgaricus,Cam có thạch,70.9,14.5,1.2,0.7,0.0,0.0,0.0,0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.425,40,0,0,0.0,0.0,0,150,150,0.0,140,0.0,0.22,0,0,0.0
Sữa chua uống tiệt trùng SuSu Hương Việt Quất Chuối,Sữa chua uống tiệt trùng,Streptococcus thermophilus và Lactobacillus bulgaricus,Việt quất chuối,75.3,15.6,1.2,0.7,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44,40,0,0,0.0,0.0,0,150,150,0.0,140,0.0,0.22,0,0,0.0
Sữa chua uống tiệt trùng SuSu Hương Cam,Sữa chua uống tiệt trùng,Streptococcus thermophilus và Lactobacillus bulgaricus,Cam,75.3,15.6,1.2,0.7,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44,40,0,0,0.0,0.0,0,150,150,0.0,140,0.0,0.22,0,0,0.0
