Name,Energy (kcal),Fat (g),Protein (g),Carbohydrate (g),Calcium (mg),Zinc (mg),Phosporus (mg),Selenium (mcg),Magnesi (mg),Vitamin A (IU),Vitamin D3 (IU),Vitamin B2 (mcg),Natri (mg), Vitamin B12 (mcg),Vitamin D (IU),Vitamin B1 (mcg),Fresh Milk Rate,Xenlulose (g),Vitamin K2 (mcg),Vitamin C (mcg),GABA (mcg),Vitamin K1 (mcg) ,Axit Pantothenic (mcg),Axit Folic (mcg),Biotin (mcg),Vitamin PP (mcg),DHA (mg),Vitamin B6 (mcg),Iron (mg),Potassium (mg),Vitamin B3 (mcg),Iot (mcg),Lysin (mg),flavor
Sữa tươi tiệt trùng Vinamilk Green Farm (Có đường),74.6,3.8,3.0,7.1,110,0.0,80.0,0.0,0.0,145,0,125.0,0,0.0,0,0.0,1.0,0.0,0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,Vị có đường
Sữa tươi tiệt trùng Vinamilk Green Farm  (rất ít đường),71.0,3.8,3.0,6.2,110,0.0,80.0,0.0,0.0,145,0,125.0,0,0.0,0,0.0,1.0,0.0,0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,Vị ít đường
Sữa tươi tiệt trùng Vinamilk Green Farm (ít đường),74.6,3.8,3.0,7.1,110,0.0,80.0,0.0,0.0,145,0,125.0,0,0.0,0,0.0,1.0,0.0,0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,Vị ít đường
Sữa tươi tiệt trùng Vinamilk Green Farm Organic,62.8,3.6,3.1,4.5,110,0.0,90.0,0.0,0.0,0,0,110.0,40,0.2,0,0.0,1.0,0.0,0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,Vị organic
Sữa tươi thanh trùng Vinamilk Green Farm (Không đường),64.6,3.8,3.2,4.4,110,0.4,85.0,0.0,10.0,145,0,125.0,0,0.0,0,0.0,1.0,0.0,0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,Vị không đường
Sữa tươi thanh trùng Vinamilk Green Farm (Rất ít đường),71.4,3.8,3.1,6.2,110,0.35,85.0,0.0,10.0,145,0,125.0,0,0.0,0,0.0,1.0,0.0,0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,Vị ít đường
Sữa tươi tiệt trùng Vinamilk 100% (có đường),72.9,3.3,3.0,7.8,110,0.0,80.0,7.5,0.0,200,60,0.0,0,0.0,0,0.0,1.0,0.0,0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,Vị có đường
Sữa tươi tiệt trùng Vinamilk 100% (Không đường),60.3,3.5,3.1,4.1,110,0.0,80.0,7.5,0.0,200,60,0.0,0,0.0,0,0.0,1.0,0.0,0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,Vị không đường
Sữa tươi tiệt trùng Vinamilk 100% Socola,83.3,3.3,2.9,10.5,110,0.0,80.0,7.5,0.0,200,60,0.0,0,0.0,0,0.0,1.0,0.0,0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,Vị socola
Sữa tươi tiệt trùng Vinamilk 100%  (ít đường),68.5,3.3,3.0,6.7,110,0.0,80.0,7.5,0.0,200,60,0.0,0,0.0,0,0.0,1.0,0.0,0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,Vị ít đường
Sữa tươi tiệt trùng Vinamilk 100% (hương dâu),80.9,3.3,2.9,9.9,110,0.0,80.0,7.5,0.0,200,60,0.0,0,0.0,0,0.0,1.0,0.0,0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,Vị dâu
Sữa tươi tiệt trùng Vinamilk 100% (tách béo),37.0,1.0,3.0,4.0,110,0.0,90.0,7.5,0.0,200,60,0.0,0,0.0,0,0.0,1.0,0.0,0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,Tách béo
Sữa tươi tiệt trùng Vinamilk 100% (dừa),74.8,3.6,2.9,7.7,110,0.0,80.0,0.0,0.0,200,60,0.0,0,0.0,0,0.0,1.0,0.0,0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,Vị dừa
Sữa tươi tiệt trùng Vinamilk 100% (chuối) ,64.1,2.5,2.9,7.5,110,0.0,80.0,0.0,0.0,200,60,0.0,0,0.0,0,0.0,1.0,0.0,0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,Vị chuối
Sữa tươi tiệt trùng TH True Milk nguyên chất,60.0,3.3,3.0,4.6,104,0.32,0.0,0.0,8.0,118,0,0.0,0,0.0,16,27.0,0.97,0.0,0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,Nguyên bản
Sữa tươi tiệt trùng TH True Milk ít đường,70.0,3.2,2.9,7.4,104,0.32,0.0,0.0,8.0,118,0,0.0,0,0.0,16,27.0,0.97,0.0,0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,Vị ít đường
Sữa tươi tiệt trùng TH True Milk có đường,73.2,3.2,2.9,8.2,104,0.32,0.0,0.0,8.0,118,0,0.0,0,0.0,16,27.0,0.97,0.0,0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,Vị có đường
Sữa tươi hữu cơ TH True Milk Organic,60.9,3.3,3.1,4.7,100,0.0,0.0,0.0,0.0,80,0,0.0,0,0.0,0,21.0,1.0,0.0,0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,organic
Sữa tươi TH True Milk HILO,60.0,3.3,3.0,4.6,104,0.32,0.0,0.0,8.0,118,0,145.0,0,0.0,16,27.0,1.0,0.0,0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,Nguyên bản
Sữa tươi tiệt trùng TH True Milk hương dâu,80.0,3.2,2.8,10.0,100,0.0,0.0,0.0,0.0,118,0,0.0,0,0.0,16,27.0,0.94,0.0,0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,Vị dâu
Sữa tươi tiệt trùng TH True Milk hương socola,83.5,3.5,3.0,10.0,100,0.0,0.0,0.0,0.0,118,0,0.0,0,0.0,16,27.0,0.9318,0.0,0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,Vị socola
Sữa tươi tiệt trùng TH True Milk gold,52.5,1.8,3.0,6.0,140,1.0,0.0,0.3,11.5,0,68,0.18,0,0.3,0,0.09,1.0,0.9,9,0,5,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,Nguyên bản
Sữa tươi ngũ cốc TH True Milk Light Meal,73.1,3.5,2.8,7.6,104,0.0,0.0,0.0,0.0,118,0,0.0,0,0.0,0,25.0,0.97,0.0,0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,Nguyên bản
Sữa tươi thanh trùng TH True Milk ,62.7,3.5,3.2,4.6,104,0.32,0.0,0.0,8.0,118,0,0.0,0,0.0,0,0.0,1.0,0.0,0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,Nguyên bản
Sữa tươi TOPKID Vanila Organic,82.6,3.4,3.0,10.0,140,0.35,0.0,0.0,10.0,110,0,0.0,0,0.16,50,100.0,0.94,0.5,0,0,0,2.2,255,18,4.5,100,1.1,0.0,0.0,0,0.0,0.0,0,Vị organic
Sữa TH True Juice milk TOPKID cam,65.0,1.0,1.0,13.0,25,,0.0,0.0,0.0,0,0,0.0,0,0.16,0,0.0,0.0,0.0,0,0,0,0.0,0,28,0.0,0,0.0,120.0,0.0,0,0.0,0.0,0,Vị cam
Sữa TH True Juice milk TOPKID dâu,65.0,1.0,1.0,13.0,25,,0.0,0.0,0.0,0,0,0.0,0,0.16,0,0.0,0.0,0.0,0,0,0,0.0,0,28,0.0,0,0.0,120.0,0.0,0,0.0,0.0,0,Vị dâu 
