product_name,quantity_sold,brand_name,product_type,product_quantity,category,price,detail_product
Thùng 24 Chai Nước Trái Cây Twister Cam (320ml /chai),570.0,Twister,thùng,32ml,nước giải khát,207000.0,Nước ép Twister
Lốc 6 Chai Nước Cam Ép Tropicana Twister 455ml,53.0,Twister,lốc,455ml,nước giải khát,69000.0,Nước ép Twister
[ NGON NHƯ CAM TƯƠI] Combo 6 chai nước cam ép Twister Tropicana 455ml (Date mới )-[ 12.12 Hot Deals ],520.0,Twister,chai,455ml,nước giải khát,70000.0,Nước ép Twister
Nước cam ép Twister chai 1L,318.0,Twister,chai,1l,nước giải khát,22900.0,Nước ép Twister
Nước cam ép Twister chai 1L - Shop Siêu thị lan chi,52.0,Twister,chai,1l,nước giải khát,29600.0,Nước ép Twister
Thùng 24 Chai Sữa Trái Cây Hương Cam Twister (320ml/chai),259.0,Twister,thùng,32ml,nước giải khát,199000.0,Nước ép Twister
Nước cam ép Twister chai 1L Date mới,8.0,Twister,chai,1l,nước giải khát,22770.0,Nước ép Twister
Nước cam ép Twister chai 1L - Shop Siêu thị lan chi,133.0,Twister,chai,1l,nước giải khát,29600.0,Nước ép Twister
Thùng 24 Chai Sữa Trái Cây Hương Dâu Twister (320ml/chai),1500.0,Twister,thùng,320ml,nước giải khát,199000.0,Nước ép Twister
Nước cam ép Twister chai 1L,52.0,Twister,chai,1l,nước giải khát,22900.0,Nước ép Twister
Nước cam ép Twister chai 1L - Shop Siêu thị lan chi,520.0,Twister,chai,1l,nước giải khát,29600.0,Nước ép Twister
Nước cam ép Twister chai 1L Date mới,171.0,Twister,chai,1l,nước giải khát,22770.0,Nước ép Twister
Nước cam ép TWISTER TROPICANA chai 450ml,75.0,Twister,chai,450ml,nước giải khát,358315.0,Nước ép Twister
Thùng 24 Chai Nước Trái Cây Twister Cam (320ml /chai),445.0,Twister,thùng,320ml,nước giải khát,207000.0,Nước ép Twister
Thùng 12 Chai Nước Trái Cây Twister Cam (1L/chai),112.0,Twister,thùng,1l,nước giải khát,225000.0,Nước ép Twister
